country,city,reason,date
Portugal,Lisbon,State visit; met with President Eanes and Prime Minister Soares; addressed the National Assembly.,"May 8–10, 1985"
Switzerland,Geneva,Attended Summit Meeting (November 19-21) with Soviet General Secretary Gorbachev. Met also with Swiss President Furgler.,"November 16–21, 1985"
Belgium,Brussels,"Briefed North Atlantic Council on Soviet summit Present were the Heads of State and Government of Belgium, Canada, Denmark, Federal Republic of Germany, Italy, the Netherlands, Norway, Luxembourg, Portugal, Turkey, and the United Kingdom.",21-Nov-85
Mexico,Mexicali,Informal meeting with President de La Madrid.,3-Jan-86
Grenada,St. George's,"Met with Governor General Scoon and Prime Minister Blaize, and with the Prime Ministers of Dominica, Jamaica, St. Lucia, St. Christopher and Nevis, St. Vincent and the Grenadines, Antigua and Barbuda, Trinidad and Tobago, and Barbados. Dedicated a memorial to U.S. servicemen.",20-Feb-86
Indonesia,Bali,Attended an ASEAN Ministerial meeting; met with Indonesian President Soeharto and Philippine Vice President Laurel.,"April 29–May 2, 1986"
Japan,Tokyo,"Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","May 2–7, 1986"
Iceland,Reykjavik,Pre-Summit meeting (October 10-11) with Soviet General Secretary Gorbachev. Met with President Finnbogadottir October 10.,"October 9–12, 1986"
Canada,Ottawa,Official visit; met with Prime Minister Mulroney. Addressed Parliament April 6.,"April 4–6, 1987"
Italy,"Venice, Rome","Attended Economic Summit Meeting (June 8-10) of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom. Met with President Cossiga and Prime Minister Fanfani in Rome on June 6.","June 3–11, 1987"
Vatican City,,Audience with Pope John Paul II.,6-Jun-87
Germany,West Berlin,Attended 750th Anniversary celebrations; met with Chancellor Kohl.,"June 11–12, 1987"
"Germany, Federal Republic of",Bonn,Met with Chancellor Kohl.,12-Jun-87
Mexico,Mazatlan,Informal meeting with President de la Madrid. Signed textile agreement.,13-Feb-88
Belgium,Brussels,"Attended NATO Summit Meeting. Present were the Heads of State and Government of Canada, Denmark, France, Federal Republic of Germany, Greece, Iceland, Italy, Luxembourg, Norway, Portugal, Spain, Turkey, and the United Kingdom.","March 1–3, 1988"
